gene_id	gene_name	qtl	trait	trait_long	trait_category	eqtl_pp4	ieqtl_pp4
ENSG00000100583.4	SAMD15	both	GC	Granulocyte_Count	Blood	0.868659	0.708802
ENSG00000259922.1	RP11-322D14.1	both	GC	Granulocyte_Count	Blood	0.854076	0.653028
ENSG00000278978.1	RP11-164P12.5	both	GC	Granulocyte_Count	Blood	0.61267	0.515908
ENSG00000163050.16	COQ8A	both	GC	Granulocyte_Count	Blood	0.639365	0.687663
ENSG00000022567.9	SLC45A4	both	GC	Granulocyte_Count	Blood	0.980955	0.980834
ENSG00000253595.5	LINC01300	both	NC	Neutrophil_Count	Blood	0.97537	0.972661
ENSG00000259922.1	RP11-322D14.1	both	NC	Neutrophil_Count	Blood	0.780252	0.537133
ENSG00000115232.13	ITGA4	both	NC	Neutrophil_Count	Blood	0.962486	0.958368
ENSG00000100890.15	KIAA0391	both	NC	Neutrophil_Count	Blood	0.89697	0.867212
ENSG00000170265.11	ZNF282	both	NC	Neutrophil_Count	Blood	0.504144	0.535512
ENSG00000163050.16	COQ8A	both	NC	Neutrophil_Count	Blood	0.635896	0.676965
ENSG00000072694.20	FCGR2B	both	NC	Neutrophil_Count	Blood	0.704243	0.947942
ENSG00000100583.4	SAMD15	both	NC	Neutrophil_Count	Blood	0.820456	0.63195
ENSG00000047365.11	ARAP2	both	NC	Neutrophil_Count	Blood	0.974608	0.976616
ENSG00000178966.16	RMI1	both	NC	Neutrophil_Count	Blood	0.530003	0.806854
ENSG00000090863.11	GLG1	both	NC	Neutrophil_Count	Blood	0.632156	0.62853
ENSG00000155893.12	PXYLP1	both	NC	Neutrophil_Count	Blood	0.829223	0.758907
ENSG00000022567.9	SLC45A4	both	NC	Neutrophil_Count	Blood	0.981113	0.981144
ENSG00000140853.15	NLRC5	both	NC	Neutrophil_Count	Blood	0.779678	0.785031
ENSG00000188452.13	CERKL	both	NC	Neutrophil_Count	Blood	0.960623	0.957987
ENSG00000171860.4	C3AR1	both	NC	Neutrophil_Count	Blood	0.608712	0.613118
ENSG00000163050.16	COQ8A	both	NEC	Sum_Neutrophil_Eosinophil_Count	Blood	0.666464	0.680682
ENSG00000188452.13	CERKL	both	NEC	Sum_Neutrophil_Eosinophil_Count	Blood	0.960091	0.957829
ENSG00000022567.9	SLC45A4	both	NEC	Sum_Neutrophil_Eosinophil_Count	Blood	0.980744	0.980617
ENSG00000100583.4	SAMD15	both	NEC	Sum_Neutrophil_Eosinophil_Count	Blood	0.849108	0.662449
ENSG00000072694.20	FCGR2B	both	NEC	Sum_Neutrophil_Eosinophil_Count	Blood	0.626412	0.944024
ENSG00000147852.15	VLDLR	both	NEC	Sum_Neutrophil_Eosinophil_Count	Blood	0.545434	0.615799
ENSG00000253595.5	LINC01300	both	NEC	Sum_Neutrophil_Eosinophil_Count	Blood	0.974673	0.972078
ENSG00000140853.15	NLRC5	both	NEC	Sum_Neutrophil_Eosinophil_Count	Blood	0.903259	0.905663
ENSG00000259922.1	RP11-322D14.1	both	NEC	Sum_Neutrophil_Eosinophil_Count	Blood	0.903655	0.747951
ENSG00000115232.13	ITGA4	both	NEC	Sum_Neutrophil_Eosinophil_Count	Blood	0.962049	0.958104
ENSG00000155893.12	PXYLP1	both	NEC	Sum_Neutrophil_Eosinophil_Count	Blood	0.86274	0.820758
ENSG00000100890.15	KIAA0391	both	NEC	Sum_Neutrophil_Eosinophil_Count	Blood	0.893488	0.862861
ENSG00000114770.16	ABCC5	both	NEC	Sum_Neutrophil_Eosinophil_Count	Blood	0.549393	0.500922
ENSG00000047365.11	ARAP2	both	NEC	Sum_Neutrophil_Eosinophil_Count	Blood	0.981015	0.98292
ENSG00000135905.18	DOCK10	both	MC	Monocyte_Count	Blood	0.895758	0.898671
ENSG00000162877.12	PM20D1	both	MC	Monocyte_Count	Blood	0.960106	0.960823
ENSG00000135486.17	HNRNPA1	both	MC	Monocyte_Count	Blood	0.999479	0.999551
ENSG00000259922.1	RP11-322D14.1	both	MC	Monocyte_Count	Blood	0.980632	0.938674
ENSG00000188452.13	CERKL	both	MC	Monocyte_Count	Blood	0.987825	0.971361
ENSG00000140853.15	NLRC5	both	MC	Monocyte_Count	Blood	0.980631	0.980733
ENSG00000047365.11	ARAP2	both	MC	Monocyte_Count	Blood	0.943834	0.976034
ENSG00000090863.11	GLG1	both	MC	Monocyte_Count	Blood	0.952718	0.95474
ENSG00000115232.13	ITGA4	both	MC	Monocyte_Count	Blood	0.986983	0.980763
ENSG00000197147.13	LRRC8B	both	MC	Monocyte_Count	Blood	0.508733	0.691188
ENSG00000159720.11	ATP6V0D1	both	HYPOTHY_UKBS	Hypothyroidism_UKBS	Endocrine system disease	0.866364	0.597321
ENSG00000197728.9	RPS26	both	FIS_UKB	Fluid_Intelligence_Score_UKB	Psychiatric_neurologic	0.560033	0.562144
ENSG00000188452.13	CERKL	both	EBC	Sum_Eosinophil_Basophil_Count	Blood	0.845835	0.863635
ENSG00000170265.11	ZNF282	both	EBC	Sum_Eosinophil_Basophil_Count	Blood	0.581219	0.575075
ENSG00000135486.17	HNRNPA1	both	EBC	Sum_Eosinophil_Basophil_Count	Blood	0.58819	0.588926
ENSG00000111328.6	CDK2AP1	both	EBC	Sum_Eosinophil_Basophil_Count	Blood	0.696803	0.728314
ENSG00000115232.13	ITGA4	both	EBC	Sum_Eosinophil_Basophil_Count	Blood	0.846376	0.861829
ENSG00000197728.9	RPS26	both	EBC	Sum_Eosinophil_Basophil_Count	Blood	0.770962	0.770962
ENSG00000235423.8	RP11-282O18.3	both	EBC	Sum_Eosinophil_Basophil_Count	Blood	0.711617	0.756915
ENSG00000130921.7	C12orf65	both	EBC	Sum_Eosinophil_Basophil_Count	Blood	0.705036	0.720799
ENSG00000178252.17	WDR6	both	EBC	Sum_Eosinophil_Basophil_Count	Blood	0.574935	0.61275
ENSG00000170265.11	ZNF282	both	EC	Eosinophil_Count	Blood	0.501313	0.532189
ENSG00000111328.6	CDK2AP1	both	EC	Eosinophil_Count	Blood	0.617889	0.662981
ENSG00000188452.13	CERKL	both	EC	Eosinophil_Count	Blood	0.527256	0.556215
ENSG00000135486.17	HNRNPA1	both	EC	Eosinophil_Count	Blood	0.749667	0.756068
ENSG00000235423.8	RP11-282O18.3	both	EC	Eosinophil_Count	Blood	0.641893	0.687477
ENSG00000115232.13	ITGA4	both	EC	Eosinophil_Count	Blood	0.531654	0.554013
ENSG00000130921.7	C12orf65	both	EC	Eosinophil_Count	Blood	0.635908	0.650259
ENSG00000178252.17	WDR6	both	EC	Eosinophil_Count	Blood	0.564584	0.608213
ENSG00000168906.12	MAT2A	both	EC	Eosinophil_Count	Blood	0.553629	0.884883
ENSG00000197728.9	RPS26	both	EC	Eosinophil_Count	Blood	0.711742	0.711742
ENSG00000177311.11	ZBTB38	both	HEIGHT_UKB	Standing_Height_UKB	Anthropometric	0.755072	0.815357
ENSG00000276293.4	PIP4K2B	both	HEIGHT_UKB	Standing_Height_UKB	Anthropometric	0.503296	0.965638
ENSG00000149485.18	FADS1	both	ATH_UKBS	Asthma_UKBS	Allergy	0.619297	0.619466
ENSG00000149485.18	FADS1	both	CD	Crohns_Disease	Immune	0.60471	0.734717
ENSG00000178952.10	TUFM	both	CD	Crohns_Disease	Immune	0.513687	0.50459
ENSG00000185651.14	UBE2L3	both	CD	Crohns_Disease	Immune	0.722681	0.659232
ENSG00000149485.18	FADS1	both	ATH_UKB	Asthma_UKB	Immune	0.588727	0.63655
ENSG00000176658.16	MYO1D	both	RET	Reticulocyte_Count	Blood	0.641878	0.678004
ENSG00000185651.14	UBE2L3	both	RET	Reticulocyte_Count	Blood	0.5034	0.568537
ENSG00000176658.16	MYO1D	both	HRET	High_Light_Scatter_Reticulocyte_Count	Blood	0.740837	0.740848
ENSG00000261211.1	RP1-80N2.3	both	HRET	High_Light_Scatter_Reticulocyte_Count	Blood	0.97034	0.925673
ENSG00000185651.14	UBE2L3	both	HRET	High_Light_Scatter_Reticulocyte_Count	Blood	0.51095	0.532916
ENSG00000160712.12	IL6R	both	CAD	Coronary_Artery_Disease	Cardiometabolic	0.849127	0.795323
ENSG00000182511.11	FES	both	CAD	Coronary_Artery_Disease	Cardiometabolic	0.727069	0.80936
ENSG00000162399.6	BSND	both	CAD	Coronary_Artery_Disease	Cardiometabolic	0.910932	0.853385
ENSG00000177311.11	ZBTB38	both	HAY_UKB	Hayfever_UKB	Immune	0.814957	0.826454
ENSG00000185651.14	UBE2L3	both	HAY_UKB	Hayfever_UKB	Immune	0.631627	0.549033
ENSG00000182511.11	FES	both	HPT_UKBS	Hypertension_UKBS	Cardiometabolic	0.749886	0.796369
ENSG00000118520.14	ARG1	both	FAT_UKB	Body_Fat_Percentage_UKB	Anthropometric	0.731655	0.714362
ENSG00000101104.12	PABPC1L	both	FAT_UKB	Body_Fat_Percentage_UKB	Anthropometric	0.684268	0.568504
ENSG00000177311.11	ZBTB38	both	HEIGHT	Height	Anthropometric	0.954856	0.59361
ENSG00000118520.14	ARG1	both	BMI_UKB	BMI_UKB	Anthropometric	0.676983	0.573
ENSG00000182511.11	FES	both	BW_UKB	Birth_Weight_UKB	Anthropometric	0.62952	0.532941
ENSG00000170291.14	ELP5	both	BW_UKB	Birth_Weight_UKB	Anthropometric	0.826598	0.776383
ENSG00000164597.13	COG5	both	BW_UKB	Birth_Weight_UKB	Anthropometric	0.60856	0.581209
ENSG00000117280.12	RAB29	both	BW_UKB	Birth_Weight_UKB	Anthropometric	0.918167	0.61562
ENSG00000148842.17	CNNM2	both	BW_UKB	Birth_Weight_UKB	Anthropometric	0.973879	0.908492
ENSG00000182511.11	FES	both	FAD_UKB	Fathers_Age_At_Death_UKB	Aging	0.613299	0.586516
ENSG00000177311.11	ZBTB38	both	BLDP4_UKB	Balding_Pattern_4_UKB	Morphology	0.660087	0.671181
