region	n	trait	results	abbreviation	category	color
region_chr8_7295557_9297184	12	UKB_21001_Body_mass_index_BMI	smultixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr8_7295557_9297184	6	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr8_74532829_75544307	2	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr8_78220626_81044160	4	Astle_et_al_2016_Lymphocyte_counts	smultixcan_eqtl	LC	Blood	#C00000
region_chr8_78220626_81044160	3	UKB_20002_1111_self_reported_asthma	smultixcan_eqtl	ATH_UKBS	Allergy	#FFFF00
region_chr8_83313354_85043384	1	UKB_21001_Body_mass_index_BMI	smultixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr8_85043384_86399480	1	Astle_et_al_2016_High_light_scatter_reticulocyte_count	smultixcan_eqtl	HRET	Blood	#C00000
region_chr8_9297184_9783277	1	Astle_et_al_2016_Neutrophil_count	smultixcan_eqtl	NC	Blood	#C00000
region_chr8_9297184_9783277	1	UKB_20002_1473_self_reported_high_cholesterol	smultixcan_eqtl	HC_UKBS	Cardiometabolic	#004000
region_chr8_9297184_9783277	3	UKB_21001_Body_mass_index_BMI	smultixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr8_9297184_9783277	1	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr8_93993299_95522578	3	UKB_21001_Body_mass_index_BMI	smultixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr8_9783277_10605687	4	Astle_et_al_2016_Myeloid_white_cell_count	smultixcan_eqtl	MWBC	Blood	#C00000
region_chr8_9783277_10605687	4	Astle_et_al_2016_White_blood_cell_count	smultixcan_eqtl	WBC	Blood	#C00000
region_chr8_9783277_10605687	1	UKB_1160_Sleep_duration	smultixcan_eqtl	SLEEP_UKB	Psychiatric-neurologic	#0000A0
region_chr8_9783277_10605687	6	UKB_20127_Neuroticism_score	smultixcan_eqtl	NEUROT_UKB	Psychiatric-neurologic	#0000A0
region_chr8_9783277_10605687	5	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr9_104819468_106536473	1	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr9_106536473_107932781	1	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr9_110015744_112068802	2	Astle_et_al_2016_Eosinophil_counts	smultixcan_eqtl	EC	Blood	#C00000
region_chr9_110015744_112068802	13	Astle_et_al_2016_Monocyte_count	smultixcan_eqtl	MC	Blood	#C00000
region_chr9_110015744_112068802	1	Astle_et_al_2016_Myeloid_white_cell_count	smultixcan_eqtl	MWBC	Blood	#C00000
region_chr9_110015744_112068802	2	Astle_et_al_2016_Sum_eosinophil_basophil_counts	smultixcan_eqtl	EBC	Blood	#C00000
region_chr9_110015744_112068802	1	Astle_et_al_2016_White_blood_cell_count	smultixcan_eqtl	WBC	Blood	#C00000
region_chr9_115159681_118559259	2	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr9_115159681_118559259	3	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr9_119498019_122109043	3	Astle_et_al_2016_Lymphocyte_counts	smultixcan_eqtl	LC	Blood	#C00000
region_chr9_119498019_122109043	1	UKB_21001_Body_mass_index_BMI	smultixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr9_119498019_122109043	1	UKB_23099_Body_fat_percentage	smultixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr9_119498019_122109043	10	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr9_122109043_124209608	1	EGG_BW3_EUR	smultixcan_eqtl	BW	Anthropometric	#404040
region_chr9_122109043_124209608	2	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr9_12276489_14836365	1	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	smultixcan_eqtl	BLDP4_UKB	Hair morphology	#808000
region_chr9_124209608_126297386	1	Astle_et_al_2016_Platelet_count	smultixcan_eqtl	PLT	Blood	#C00000
region_chr9_124209608_126297386	3	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	smultixcan_eqtl	HAY_UKB	Immune	#40A0A0
region_chr9_126297386_127293231	3	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr9_127293231_129403191	1	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	smultixcan_eqtl	HAY_UKB	Immune	#40A0A0
region_chr9_130347830_131252501	2	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr9_132423455_134176000	2	Astle_et_al_2016_Eosinophil_counts	smultixcan_eqtl	EC	Blood	#C00000
region_chr9_132423455_134176000	2	Astle_et_al_2016_High_light_scatter_reticulocyte_count	smultixcan_eqtl	HRET	Blood	#C00000
region_chr9_132423455_134176000	2	Astle_et_al_2016_Monocyte_count	smultixcan_eqtl	MC	Blood	#C00000
region_chr9_132423455_134176000	1	Astle_et_al_2016_Myeloid_white_cell_count	smultixcan_eqtl	MWBC	Blood	#C00000
region_chr9_132423455_134176000	2	Astle_et_al_2016_Neutrophil_count	smultixcan_eqtl	NC	Blood	#C00000
region_chr9_132423455_134176000	1	CARDIoGRAM_C4D_CAD_ADDITIVE	smultixcan_eqtl	CAD	Cardiometabolic	#004000
region_chr9_132423455_134176000	1	MAGNETIC_IDL.TG	smultixcan_eqtl	IDL	Cardiometabolic	#004000
region_chr9_132423455_134176000	1	UKB_20002_1065_self_reported_hypertension	smultixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr9_132423455_134176000	1	UKB_20002_1473_self_reported_high_cholesterol	smultixcan_eqtl	HC_UKBS	Cardiometabolic	#004000
region_chr9_132423455_134176000	2	UKB_6152_7_diagnosed_by_doctor_Blood_clot_in_the_lung	smultixcan_eqtl	PE_UKB	Cardiometabolic	#004000
region_chr9_136047132_136605890	6	Astle_et_al_2016_Myeloid_white_cell_count	smultixcan_eqtl	MWBC	Blood	#C00000
region_chr9_136047132_136605890	8	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	smultixcan_eqtl	NEC	Blood	#C00000
region_chr9_136047132_136605890	6	Astle_et_al_2016_White_blood_cell_count	smultixcan_eqtl	WBC	Blood	#C00000
region_chr9_136047132_136605890	11	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr9_136047132_136605890	8	IBD.EUR.Crohns_Disease	smultixcan_eqtl	CD	Immune	#40A0A0
region_chr9_136047132_136605890	5	IBD.EUR.Ulcerative_Colitis	smultixcan_eqtl	UC	Immune	#40A0A0
region_chr9_136605890_138254346	13	Astle_et_al_2016_Lymphocyte_counts	smultixcan_eqtl	LC	Blood	#C00000
region_chr9_136605890_138254346	1	Astle_et_al_2016_Reticulocyte_count	smultixcan_eqtl	RET	Blood	#C00000
region_chr9_136605890_138254346	5	Astle_et_al_2016_White_blood_cell_count	smultixcan_eqtl	WBC	Blood	#C00000
region_chr9_14836365_16659657	1	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr9_14836365_16659657	4	UKB_23099_Body_fat_percentage	smultixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr9_20463536_22206560	2	Astle_et_al_2016_Lymphocyte_counts	smultixcan_eqtl	LC	Blood	#C00000
region_chr9_20463536_22206560	1	Astle_et_al_2016_Monocyte_count	smultixcan_eqtl	MC	Blood	#C00000
region_chr9_20463536_22206560	1	Astle_et_al_2016_White_blood_cell_count	smultixcan_eqtl	WBC	Blood	#C00000
region_chr9_20463536_22206560	1	UKB_6150_1_Vascular_or_heart_problems_diagnosed_by_doctor_Heart_attack	smultixcan_eqtl	MI_UKB	Cardiometabolic	#004000
region_chr9_32019370_33578336	3	Astle_et_al_2016_Red_blood_cell_count	smultixcan_eqtl	RBC	Blood	#C00000
region_chr9_34642246_36743286	11	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr9_34642246_36743286	1	RA_OKADA_TRANS_ETHNIC	smultixcan_eqtl	RA	Immune	#40A0A0
region_chr9_34642246_36743286	1	UKB_20002_1065_self_reported_hypertension	smultixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr9_4495328_4884926	5	Astle_et_al_2016_Red_blood_cell_count	smultixcan_eqtl	RBC	Blood	#C00000
region_chr9_4884926_6557589	7	Astle_et_al_2016_Eosinophil_counts	smultixcan_eqtl	EC	Blood	#C00000
region_chr9_4884926_6557589	2	Astle_et_al_2016_Red_blood_cell_count	smultixcan_eqtl	RBC	Blood	#C00000
region_chr9_4884926_6557589	1	IBD.EUR.Ulcerative_Colitis	smultixcan_eqtl	UC	Immune	#40A0A0
region_chr9_4884926_6557589	5	UKB_6152_8_diagnosed_by_doctor_Asthma	smultixcan_eqtl	ATH_UKB	Immune	#40A0A0
region_chr9_4884926_6557589	3	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	smultixcan_eqtl	HAY_UKB	Immune	#40A0A0
region_chr9_6557589_7154923	1	UKB_20002_1111_self_reported_asthma	smultixcan_eqtl	ATH_UKBS	Allergy	#FFFF00
region_chr9_74358165_76285267	1	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr9_74358165_76285267	1	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr9_82825886_84323281	5	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr9_85975502_87521331	4	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr9_85975502_87521331	5	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr9_87521331_89827251	1	Astle_et_al_2016_Platelet_count	smultixcan_eqtl	PLT	Blood	#C00000
region_chr9_87521331_89827251	1	Astle_et_al_2016_Reticulocyte_count	smultixcan_eqtl	RET	Blood	#C00000
region_chr9_87521331_89827251	1	UKB_21001_Body_mass_index_BMI	smultixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr9_89827251_91404921	2	Astle_et_al_2016_Sum_eosinophil_basophil_counts	smultixcan_eqtl	EBC	Blood	#C00000
region_chr9_91404921_93909416	1	UKB_20127_Neuroticism_score	smultixcan_eqtl	NEUROT_UKB	Psychiatric-neurologic	#0000A0
region_chr9_91404921_93909416	4	UKB_21001_Body_mass_index_BMI	smultixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr9_91404921_93909416	19	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr9_93909416_96159758	10	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr9_93909416_96159758	1	UKB_20022_Birth_weight	smultixcan_eqtl	BW_UKB	Anthropometric	#404040
region_chr9_93909416_96159758	14	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr9_96159758_98830577	8	Astle_et_al_2016_Platelet_count	smultixcan_eqtl	PLT	Blood	#C00000
region_chr9_96159758_98830577	2	Astle_et_al_2016_Red_blood_cell_count	smultixcan_eqtl	RBC	Blood	#C00000
region_chr9_96159758_98830577	15	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	smultixcan_eqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr9_96159758_98830577	15	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr9_98830577_101862155	2	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr10_101189482_102620653	14	Astle_et_al_2016_Reticulocyte_count	smultixcan_eqtl	RET	Blood	#C00000
region_chr10_101189482_102620653	7	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr10_101189482_102620653	15	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr10_101189482_102620653	4	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	smultixcan_eqtl	HAY_UKB	Immune	#40A0A0
region_chr10_102620653_104935290	15	Astle_et_al_2016_High_light_scatter_reticulocyte_count	smultixcan_eqtl	HRET	Blood	#C00000
region_chr10_102620653_104935290	6	Astle_et_al_2016_Monocyte_count	smultixcan_eqtl	MC	Blood	#C00000
region_chr10_102620653_104935290	10	Astle_et_al_2016_White_blood_cell_count	smultixcan_eqtl	WBC	Blood	#C00000
region_chr10_102620653_104935290	12	UKB_20022_Birth_weight	smultixcan_eqtl	BW_UKB	Anthropometric	#404040
region_chr10_102620653_104935290	19	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr10_102620653_104935290	5	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	smultixcan_eqtl	HAY_UKB	Immune	#40A0A0
region_chr10_102620653_104935290	12	pgc.scz2	smultixcan_eqtl	SCZ	Psychiatric-neurologic	#0000A0
region_chr10_110801735_113568673	1	UKB_20002_1223_self_reported_type_2_diabetes	smultixcan_eqtl	T2D_UKBS	Cardiometabolic	#004000
region_chr10_110801735_113568673	1	UKB_21001_Body_mass_index_BMI	smultixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr10_113568673_114661647	1	UKB_20022_Birth_weight	smultixcan_eqtl	BW_UKB	Anthropometric	#404040
region_chr10_113568673_114661647	1	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr10_114661647_117764423	2	UKB_23099_Body_fat_percentage	smultixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr10_117764423_118831841	1	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr10_118831841_120647811	1	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr10_121471951_122141030	3	BCAC_ER_negative_BreastCancer_EUR	smultixcan_eqtl	ERNBC	Cancer	#A0A0A0
region_chr10_121471951_122141030	1	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr10_122141030_124109830	5	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr10_124109830_126312529	1	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr10_124109830_126312529	1	UKB_23099_Body_fat_percentage	smultixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr10_12544798_13279600	1	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr10_130781981_132522825	2	UKB_21001_Body_mass_index_BMI	smultixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr10_130781981_132522825	3	UKB_23099_Body_fat_percentage	smultixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr10_130781981_132522825	1	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr10_16509768_18248338	3	UKB_20002_1065_self_reported_hypertension	smultixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr10_19427949_22483354	2	BCAC_ER_negative_BreastCancer_EUR	smultixcan_eqtl	ERNBC	Cancer	#A0A0A0
region_chr10_22886203_25289667	4	Astle_et_al_2016_High_light_scatter_reticulocyte_count	smultixcan_eqtl	HRET	Blood	#C00000
region_chr10_22886203_25289667	4	Astle_et_al_2016_Lymphocyte_counts	smultixcan_eqtl	LC	Blood	#C00000
region_chr10_22886203_25289667	4	Astle_et_al_2016_Myeloid_white_cell_count	smultixcan_eqtl	MWBC	Blood	#C00000
region_chr10_22886203_25289667	3	Astle_et_al_2016_Neutrophil_count	smultixcan_eqtl	NC	Blood	#C00000
region_chr10_22886203_25289667	3	Astle_et_al_2016_Sum_basophil_neutrophil_counts	smultixcan_eqtl	BNC	Blood	#C00000
region_chr10_22886203_25289667	4	Astle_et_al_2016_White_blood_cell_count	smultixcan_eqtl	WBC	Blood	#C00000
region_chr10_25289667_26599755	1	Astle_et_al_2016_Lymphocyte_counts	smultixcan_eqtl	LC	Blood	#C00000
region_chr10_26599755_29034307	1	Astle_et_al_2016_Eosinophil_counts	smultixcan_eqtl	EC	Blood	#C00000
region_chr10_26599755_29034307	2	Astle_et_al_2016_Granulocyte_count	smultixcan_eqtl	GC	Blood	#C00000
region_chr10_26599755_29034307	2	Astle_et_al_2016_Myeloid_white_cell_count	smultixcan_eqtl	MWBC	Blood	#C00000
region_chr10_26599755_29034307	2	Astle_et_al_2016_Neutrophil_count	smultixcan_eqtl	NC	Blood	#C00000
region_chr10_26599755_29034307	2	Astle_et_al_2016_Sum_basophil_neutrophil_counts	smultixcan_eqtl	BNC	Blood	#C00000
region_chr10_26599755_29034307	1	Astle_et_al_2016_Sum_eosinophil_basophil_counts	smultixcan_eqtl	EBC	Blood	#C00000
region_chr10_26599755_29034307	2	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	smultixcan_eqtl	NEC	Blood	#C00000
region_chr10_26599755_29034307	1	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr10_34820427_36283580	2	IBD.EUR.Inflammatory_Bowel_Disease	smultixcan_eqtl	IBD	Immune	#40A0A0
region_chr10_44234627_46978910	7	Astle_et_al_2016_Red_blood_cell_count	smultixcan_eqtl	RBC	Blood	#C00000
region_chr10_4530082_5941799	3	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr10_4530082_5941799	3	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr10_4530082_5941799	1	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	smultixcan_eqtl	HAY_UKB	Immune	#40A0A0
region_chr10_46978910_49632869	4	Astle_et_al_2016_Lymphocyte_counts	smultixcan_eqtl	LC	Blood	#C00000
region_chr10_57199768_58530227	1	UKB_20002_1065_self_reported_hypertension	smultixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr10_5941799_7129522	1	Astle_et_al_2016_Lymphocyte_counts	smultixcan_eqtl	LC	Blood	#C00000
region_chr10_5941799_7129522	1	UKB_20002_1111_self_reported_asthma	smultixcan_eqtl	ATH_UKBS	Allergy	#FFFF00
region_chr10_61581937_64034354	4	Astle_et_al_2016_Granulocyte_count	smultixcan_eqtl	GC	Blood	#C00000
region_chr10_61581937_64034354	1	Astle_et_al_2016_High_light_scatter_reticulocyte_count	smultixcan_eqtl	HRET	Blood	#C00000
region_chr10_61581937_64034354	1	Astle_et_al_2016_Monocyte_count	smultixcan_eqtl	MC	Blood	#C00000
region_chr10_61581937_64034354	4	Astle_et_al_2016_Neutrophil_count	smultixcan_eqtl	NC	Blood	#C00000
region_chr10_61581937_64034354	4	Astle_et_al_2016_White_blood_cell_count	smultixcan_eqtl	WBC	Blood	#C00000
region_chr10_61581937_64034354	1	BCAC_ER_negative_BreastCancer_EUR	smultixcan_eqtl	ERNBC	Cancer	#A0A0A0
region_chr10_61581937_64034354	1	BCAC_Overall_BreastCancer_EUR	smultixcan_eqtl	BC	Cancer	#A0A0A0
region_chr10_61581937_64034354	2	IBD.EUR.Inflammatory_Bowel_Disease	smultixcan_eqtl	IBD	Immune	#40A0A0
region_chr10_61581937_64034354	2	RA_OKADA_TRANS_ETHNIC	smultixcan_eqtl	RA	Immune	#40A0A0
region_chr10_68140391_68436234	4	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr10_68436234_70461094	2	Astle_et_al_2016_Lymphocyte_counts	smultixcan_eqtl	LC	Blood	#C00000
region_chr10_68436234_70461094	1	Astle_et_al_2016_Red_blood_cell_count	smultixcan_eqtl	RBC	Blood	#C00000
region_chr10_68436234_70461094	2	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr10_68436234_70461094	2	UKB_20022_Birth_weight	smultixcan_eqtl	BW_UKB	Anthropometric	#404040
region_chr10_70461094_71748755	1	Astle_et_al_2016_Lymphocyte_counts	smultixcan_eqtl	LC	Blood	#C00000
region_chr10_70461094_71748755	1	UKB_23099_Body_fat_percentage	smultixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr10_705399_1481349	4	Astle_et_al_2016_Eosinophil_counts	smultixcan_eqtl	EC	Blood	#C00000
region_chr10_7129522_8732702	3	Astle_et_al_2016_Eosinophil_counts	smultixcan_eqtl	EC	Blood	#C00000
region_chr10_7129522_8732702	3	UKB_20002_1111_self_reported_asthma	smultixcan_eqtl	ATH_UKBS	Allergy	#FFFF00
region_chr10_7129522_8732702	3	UKB_6152_8_diagnosed_by_doctor_Asthma	smultixcan_eqtl	ATH_UKB	Immune	#40A0A0
region_chr10_73662792_76947056	5	UKB_21001_Body_mass_index_BMI	smultixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr10_73662792_76947056	1	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	smultixcan_eqtl	BLDP4_UKB	Hair morphology	#808000
region_chr10_76947056_79116992	1	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	smultixcan_eqtl	BLDP4_UKB	Hair morphology	#808000
region_chr10_79116992_80654923	2	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr10_87367307_89253624	4	Astle_et_al_2016_Eosinophil_counts	smultixcan_eqtl	EC	Blood	#C00000
region_chr10_87367307_89253624	2	Astle_et_al_2016_Sum_eosinophil_basophil_counts	smultixcan_eqtl	EBC	Blood	#C00000
region_chr10_87367307_89253624	1	CARDIoGRAM_C4D_CAD_ADDITIVE	smultixcan_eqtl	CAD	Cardiometabolic	#004000
region_chr10_87367307_89253624	3	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr10_90246824_91575290	1	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr10_90246824_91575290	3	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr10_91575290_93636611	2	Astle_et_al_2016_Eosinophil_counts	smultixcan_eqtl	EC	Blood	#C00000
region_chr10_91575290_93636611	2	Astle_et_al_2016_Sum_eosinophil_basophil_counts	smultixcan_eqtl	EBC	Blood	#C00000
region_chr10_96062600_98481545	16	Astle_et_al_2016_Monocyte_count	smultixcan_eqtl	MC	Blood	#C00000
region_chr10_96062600_98481545	13	Astle_et_al_2016_Myeloid_white_cell_count	smultixcan_eqtl	MWBC	Blood	#C00000
region_chr10_96062600_98481545	3	UKB_21001_Body_mass_index_BMI	smultixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr10_98908643_101189482	5	IBD.EUR.Crohns_Disease	smultixcan_eqtl	CD	Immune	#40A0A0
region_chr10_98908643_101189482	6	IBD.EUR.Inflammatory_Bowel_Disease	smultixcan_eqtl	IBD	Immune	#40A0A0
region_chr10_98908643_101189482	4	IBD.EUR.Ulcerative_Colitis	smultixcan_eqtl	UC	Immune	#40A0A0
region_chr10_98908643_101189482	2	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	smultixcan_eqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr10_98908643_101189482	16	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr11_100546438_101460390	2	Astle_et_al_2016_High_light_scatter_reticulocyte_count	smultixcan_eqtl	HRET	Blood	#C00000
region_chr11_100546438_101460390	2	Astle_et_al_2016_Reticulocyte_count	smultixcan_eqtl	RET	Blood	#C00000
region_chr11_106650168_107973474	1	UKB_20002_1065_self_reported_hypertension	smultixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr11_107973474_108566310	1	Astle_et_al_2016_Granulocyte_count	smultixcan_eqtl	GC	Blood	#C00000
region_chr11_107973474_108566310	3	Astle_et_al_2016_Platelet_count	smultixcan_eqtl	PLT	Blood	#C00000
region_chr11_107973474_108566310	1	Astle_et_al_2016_Red_blood_cell_count	smultixcan_eqtl	RBC	Blood	#C00000
region_chr11_10930480_12542682	1	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr11_111243672_112588765	6	UKB_20002_1065_self_reported_hypertension	smultixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr11_111243672_112588765	2	UKB_6152_8_diagnosed_by_doctor_Asthma	smultixcan_eqtl	ATH_UKB	Immune	#40A0A0
region_chr11_112588765_114387006	1	Astle_et_al_2016_Platelet_count	smultixcan_eqtl	PLT	Blood	#C00000
region_chr11_112588765_114387006	1	UKB_1160_Sleep_duration	smultixcan_eqtl	SLEEP_UKB	Psychiatric-neurologic	#0000A0
region_chr11_112588765_114387006	2	UKB_20127_Neuroticism_score	smultixcan_eqtl	NEUROT_UKB	Psychiatric-neurologic	#0000A0
region_chr11_116512631_117876395	2	Astle_et_al_2016_Eosinophil_counts	smultixcan_eqtl	EC	Blood	#C00000
region_chr11_116512631_117876395	6	Astle_et_al_2016_Platelet_count	smultixcan_eqtl	PLT	Blood	#C00000
region_chr11_116512631_117876395	1	MAGNETIC_HDL.C	smultixcan_eqtl	HDLC	Cardiometabolic	#004000
region_chr11_1192365_3644251	7	BCAC_Overall_BreastCancer_EUR	smultixcan_eqtl	BC	Cancer	#A0A0A0
region_chr11_1192365_3644251	1	UKB_20002_1265_self_reported_migraine	smultixcan_eqtl	MIGR_UKBS	Psychiatric-neurologic	#0000A0
region_chr11_119344766_120896097	2	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr11_121305234_122721202	1	Astle_et_al_2016_White_blood_cell_count	smultixcan_eqtl	WBC	Blood	#C00000
region_chr11_122721202_123629409	1	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr11_122721202_123629409	1	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr11_124625632_126441425	2	pgc.scz2	smultixcan_eqtl	SCZ	Psychiatric-neurologic	#0000A0
region_chr11_12542682_13351577	2	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr11_128318642_130472680	1	Astle_et_al_2016_Neutrophil_count	smultixcan_eqtl	NC	Blood	#C00000
region_chr11_128318642_130472680	1	Astle_et_al_2016_Sum_basophil_neutrophil_counts	smultixcan_eqtl	BNC	Blood	#C00000
region_chr11_128318642_130472680	1	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	smultixcan_eqtl	NEC	Blood	#C00000
region_chr11_130472680_131204717	3	UKB_21001_Body_mass_index_BMI	smultixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr11_130472680_131204717	3	pgc.scz2	smultixcan_eqtl	SCZ	Psychiatric-neurologic	#0000A0
region_chr11_133130151_134336099	1	pgc.scz2	smultixcan_eqtl	SCZ	Psychiatric-neurologic	#0000A0
region_chr11_13351577_15721006	3	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr11_26998914_28460046	2	UKB_21001_Body_mass_index_BMI	smultixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr11_30119810_32255355	3	Astle_et_al_2016_Red_blood_cell_count	smultixcan_eqtl	RBC	Blood	#C00000
